Movie Name,Release Year,Actor 1 Age,Actor 2 Age,Actor 1 Gender,Actor 2 Gender,Age Difference,Older Actor,Avg Actor Age,Age Group,production_budget,profit,Profit (Millions),roi
Tag,2018,47,44,man,woman,3,man,45.5,41–50,28000000,49026186,49,1.7509352142857142
The Age of Adaline,2015,25,28,man,woman,3,woman,26.5,15–30,30000000,38984536,39,1.2994845333333334
The Best of me,2014,41,38,man,woman,3,man,39.5,31–40,26000000,15059418,15,0.5792083846153846
The Disaster Artist,2017,32,35,man,woman,3,woman,33.5,31–40,10000000,18717667,19,1.8717667
The Disaster Artist,2017,32,35,man,woman,3,woman,33.5,31–40,10000000,18717667,19,1.8717667
The Fault in Our Stars,2014,20,23,man,woman,3,woman,21.5,15–30,12000000,295166834,295,24.597236166666665
The Favourite,2018,27,30,man,woman,3,woman,28.5,15–30,15000000,79113929,79,5.274261933333333
The Five-Year Engagement,2012,32,29,man,woman,3,man,30.5,31–40,30000000,31623819,32,1.0541273
The Lucky One,2012,25,28,man,woman,3,woman,26.5,15–30,25000000,71633833,72,2.86535332
The Vow,2012,37,34,man,woman,3,man,35.5,31–40,30000000,167618160,168,5.587272
Trainwreck,2015,37,34,man,woman,3,man,35.5,31–40,35000000,106123897,106,3.0321113428571427
Widows,2018,37,40,man,woman,3,woman,38.5,31–40,40000000,33866088,34,0.8466522
A Most Violent Year,2014,35,37,man,woman,2,woman,36,31–40,20000000,-11153125,-11,-0.55765625
A Most Violent Year,2014,35,37,man,woman,2,woman,36,31–40,20000000,-11153125,-11,-0.55765625
A Simple Favor,2018,31,33,man,woman,2,woman,32,31–40,20000000,77628717,78,3.88143585
And So It Goes,2014,70,68,man,woman,2,man,69,60+,18000000,-79987,-0,-0.00444372222222222
Annihilation,2018,39,37,man,woman,2,man,38,31–40,55000000,-11929085,-12,-0.21689245454545455
Ben-Hur,2016,34,36,man,woman,2,woman,35,31–40,95000000,-3330352,-3,-0.03505633684210526
Bridesmaids,2011,40,38,man,woman,2,man,39,31–40,32500000,257132023,257,7.911754553846154
Doctor Strange,2016,40,38,man,woman,2,man,39,31–40,165000000,511404566,511,3.099421612121212
Doctor Strange,2016,40,38,man,woman,2,man,39,31–40,165000000,511404566,511,3.099421612121212
Easy A,2010,24,22,man,woman,2,man,23,15–30,8000000,68200721,68,8.525090125
Fantastic Beasts and Where to Find Them,2016,34,36,man,woman,2,woman,35,31–40,180000000,622402853,622,3.457793627777778
Fantastic Beasts and Where to Find Them,2016,34,36,man,woman,2,woman,35,31–40,180000000,622402853,622,3.457793627777778
Fifty Shades of Grey,2015,31,29,man,woman,2,man,30,31–40,40000000,530998101,531,13.274952525
Friends with Benefits,2011,30,28,man,woman,2,man,29,15–30,35000000,111595891,112,3.1884540285714285
I Don't Know How She Does It,2011,48,46,man,woman,2,man,47,41–50,24000000,474463,0,0.01976929166666666
Jurassic World,2015,36,34,man,woman,2,man,35,31–40,215000000,1433854864,1434,6.669092390697674
Pitch Perfect,2012,25,27,man,woman,2,woman,26,15–30,17000000,99044347,99,5.826138058823529
Robin Hood,2018,29,27,man,woman,2,man,28,15–30,99000000,-14252559,-14,-0.1439652424242424
Tag,2018,44,42,man,woman,2,man,43,41–50,28000000,49026186,49,1.7509352142857142
Tag,2018,40,42,man,woman,2,woman,41,41–50,28000000,49026186,49,1.7509352142857142
The Girl with the Dragon Tattoo,2011,43,45,man,woman,2,woman,44,41–50,90000000,149373970,149,1.6597107777777778
The Kids Are All Right,2010,52,50,woman,woman,2,woman,51,51–60,4000000,32275469,32,8.06886725
The Other Woman,2014,44,42,man,woman,2,man,43,41–50,40000000,155111193,155,3.877779825
The Other Woman,2014,44,42,man,woman,2,man,43,41–50,40000000,155111193,155,3.877779825
The Vow,2012,32,34,man,woman,2,woman,33,31–40,30000000,167618160,168,5.587272
Thor,2011,28,30,man,woman,2,woman,29,15–30,150000000,299326618,299,1.9955107866666664
Unforgettable,2017,40,38,man,woman,2,man,39,31–40,12000000,4221211,4,0.35176758333333336
Why Him?,2016,60,58,man,woman,2,man,59,51–60,38000000,79425156,79,2.0901356842105265
Why Him?,2016,60,58,man,woman,2,man,59,51–60,38000000,79425156,79,2.0901356842105265
Baywatch,2017,30,31,man,woman,1,woman,30.5,31–40,60000000,115863783,116,1.93106305
Book Club,2018,71,72,man,woman,1,woman,71.5,60+,10000000,81113683,81,8.1113683
Captain America: The First Avenger,2011,30,29,man,woman,1,man,29.5,15–30,140000000,230569776,231,1.6469269714285717
Get Out,2017,28,29,man,woman,1,woman,28.5,15–30,5000000,250367951,250,50.0735902
Guardians of the Galaxy,2014,35,36,man,woman,1,woman,35.5,31–40,170000000,600867516,601,3.5345148
Inception,2010,36,35,man,woman,1,man,35.5,31–40,160000000,675524642,676,4.2220290125
Lady Bird,2017,22,23,man,woman,1,woman,22.5,15–30,10000000,68610769,69,6.8610769
Lady Bird,2017,22,23,man,woman,1,woman,22.5,15–30,10000000,68610769,69,6.8610769
Leap Year,2010,37,36,man,woman,1,man,36.5,31–40,19000000,13618920,14,0.7167852631578947
Monster Trucks,2017,27,28,man,woman,1,woman,27.5,15–30,125000000,-63357202,-63,-0.506857616
Ride Along,2014,35,34,man,woman,1,man,34.5,31–40,25000000,128733800,129,5.149352
Skyscraper,2018,46,45,man,woman,1,man,45.5,41–50,125000000,179115534,179,1.432924272
The Break-Up,2006,36,37,man,woman,1,woman,36.5,31–40,52000000,153727307,154,2.956294365384615
The Martian,2015,33,32,man,woman,1,man,32.5,31–40,108000000,547271443,547,5.067328175925926
The Martian,2015,33,32,man,woman,1,man,32.5,31–40,108000000,547271443,547,5.067328175925926
